Material,Alloy_Type,Density_g_cm3,Yield_Strength_MPa,Tensile_Strength_MPa,Hardness_HB,Corrosion_Resistance_0_10,Thermal_Conductivity_W_mK,Cost_Index_1_10,Melting_Point_C,Machinability,Primary_Application
Steel SAE 1015 (annealed),Carbon Steel,7.86,284.0,386.0,111.0,4,53.94,2,1517.2,6,General Purpose
Steel SAE 1020 (as-rolled),Carbon Steel,7.86,331.0,448.0,143.0,2,54.06,3,1496.3,6,General Purpose
Steel SAE 1020 (normalized),Carbon Steel,7.86,346.0,441.0,131.0,3,49.77,1,1499.9,7,General Purpose
Steel SAE 1020 (annealed),Carbon Steel,7.86,295.0,395.0,111.0,3,52.9,2,1559.4,7,General Purpose
Steel SAE 1022 (as-rolled),Carbon Steel,7.86,359.0,503.0,149.0,2,49.91,3,1531.2,7,General Purpose
Steel SAE 1022 (normalized),Carbon Steel,7.86,359.0,483.0,143.0,4,52.2,2,1528.5,7,General Purpose
Steel SAE 1022 (annealed),Carbon Steel,7.86,317.0,450.0,137.0,2,50.82,2,1474.1,8,General Purpose
Steel SAE 1030 (as-rolled),Carbon Steel,7.86,345.0,552.0,179.0,3,49.94,2,1537.4,7,General Purpose
Steel SAE 1030 (normalized),Carbon Steel,7.86,345.0,517.0,149.0,3,53.91,3,1513.9,7,General Purpose
Steel SAE 1030 (annealed),Carbon Steel,7.86,341.0,464.0,126.0,4,50.85,2,1527.3,7,General Purpose
Steel SAE 1030 (tempered at 400 F),Carbon Steel,7.86,648.0,848.0,495.0,3,44.06,3,1540.5,6,Structural
Steel SAE 1040 (as-rolled),Carbon Steel,7.86,414.0,621.0,201.0,3,55.24,2,1539.1,7,General Purpose
Steel SAE 1040 (normalized),Carbon Steel,7.86,374.0,590.0,170.0,3,47.92,1,1552.2,7,General Purpose
Steel SAE 1040 (annealed),Carbon Steel,7.86,353.0,519.0,149.0,2,50.22,2,1519.4,7,General Purpose
Steel SAE 1040 (tempered at 400 F),Carbon Steel,7.86,593.0,779.0,262.0,4,50.48,2,1529.8,7,General Purpose
Steel SAE 1050 (as-rolled),Carbon Steel,7.86,414.0,724.0,229.0,3,52.86,2,1539.4,7,General Purpose
Steel SAE 1050 (normalized),Carbon Steel,7.86,427.0,748.0,217.0,4,54.25,1,1515.7,6,General Purpose
Steel SAE 1050 (annealed),Carbon Steel,7.86,365.0,636.0,187.0,3,53.15,2,1531.7,7,General Purpose
Steel SAE 1050 (tempered at 600 F),Carbon Steel,7.86,724.0,979.0,321.0,3,38.2,2,1545.3,6,Structural
Steel SAE 1060 (as-rolled),Carbon Steel,7.86,483.0,814.0,241.0,3,42.62,4,1531.7,6,Structural
Steel SAE 1060 (normalized),Carbon Steel,7.86,421.0,776.0,229.0,2,50.22,2,1512.2,6,General Purpose
Steel SAE 1060 (annealed),Carbon Steel,7.86,372.0,626.0,179.0,2,47.43,2,1505.8,7,General Purpose
Steel SAE 1060 (tempered at 600 F),Carbon Steel,7.86,779.0,1103.0,321.0,3,42.0,3,1543.4,6,Structural
Steel SAE 1080 (as-rolled),Carbon Steel,7.86,586.0,965.0,293.0,4,44.21,3,1546.7,6,Structural
Steel SAE 1080 (normalized),Carbon Steel,7.86,524.0,1010.0,293.0,2,44.66,3,1543.1,6,Structural
Steel SAE 1080 (annealed),Carbon Steel,7.86,376.0,615.0,174.0,3,50.36,2,1518.9,8,General Purpose
Steel SAE 1080 (tempered at 600 F),Carbon Steel,7.86,979.0,1303.0,388.0,3,38.71,3,1535.9,6,Structural
Steel SAE 1095 (as-rolled),Carbon Steel,7.86,572.0,965.0,293.0,3,41.56,3,1542.9,7,Structural
Steel SAE 1095 (normalized),Carbon Steel,7.86,500.0,1014.0,293.0,3,44.51,3,1519.1,6,Structural
Steel SAE 1095 (annealed),Carbon Steel,7.86,379.0,657.0,192.0,2,48.64,1,1501.0,7,General Purpose
Steel SAE 1095 (tempered at 400 F),Carbon Steel,7.86,827.0,1289.0,401.0,3,40.03,3,1533.7,6,Structural
Steel SAE 1117 (as-rolled),Carbon Steel,7.86,305.0,487.0,143.0,3,54.17,3,1492.3,6,General Purpose
Steel SAE 1117 (normalized),Carbon Steel,7.86,303.0,467.0,137.0,3,44.92,2,1509.2,7,General Purpose
Steel SAE 1117 (annealed),Carbon Steel,7.86,279.0,429.0,121.0,2,53.2,2,1529.2,7,General Purpose
Steel SAE 1118 (as-rolled),Carbon Steel,7.86,316.0,521.0,149.0,2,54.63,3,1508.6,7,General Purpose
Steel SAE 1118 (normalized),Carbon Steel,7.86,319.0,477.0,143.0,4,52.66,1,1504.5,7,General Purpose
Steel SAE 1118 (annealed),Carbon Steel,7.86,284.0,450.0,131.0,3,48.54,3,1498.2,7,General Purpose
Steel SAE 1137 (as-rolled),Carbon Steel,7.86,379.0,627.0,192.0,3,52.99,1,1499.9,7,General Purpose
Steel SAE 1137 (normalized),Carbon Steel,7.86,396.0,669.0,197.0,2,47.95,1,1495.8,7,General Purpose
Steel SAE 1137 (annealed),Carbon Steel,7.86,345.0,584.0,174.0,3,53.12,1,1510.1,7,General Purpose
Steel SAE 1137 (tempered at 400 F),Carbon Steel,7.86,938.0,1082.0,352.0,3,39.01,3,1537.3,6,Structural
Steel SAE 1141 (as-rolled),Carbon Steel,7.86,359.0,676.0,192.0,2,55.17,2,1520.8,7,General Purpose
Steel SAE 1141 (normalized),Carbon Steel,7.86,405.0,707.0,201.0,3,50.7,3,1515.9,7,General Purpose
Steel SAE 1141 (annealed),Carbon Steel,7.86,353.0,598.0,163.0,2,44.98,2,1521.6,7,General Purpose
Steel SAE 1141 (tempered at 400 F),Carbon Steel,7.86,1213.0,1634.0,461.0,3,39.99,3,1514.8,6,Structural
Steel SAE 1144 (as-rolled),Carbon Steel,7.86,421.0,703.0,212.0,3,45.72,2,1513.7,7,General Purpose
Steel SAE 1144 (normalized),Carbon Steel,7.86,400.0,667.0,197.0,2,51.19,3,1491.5,7,General Purpose
Steel SAE 1144 (annealed),Carbon Steel,7.86,346.0,584.0,167.0,3,49.72,2,1499.6,6,General Purpose
Steel SAE 1144 (tempered at 400 F),Carbon Steel,7.86,627.0,876.0,277.0,3,42.09,4,1551.5,5,Structural
Steel SAE 1340 (normalized),Carbon Steel,7.86,558.0,836.0,248.0,3,39.91,3,1510.8,6,Structural
Steel SAE 1340 (annealed),Carbon Steel,7.86,436.0,703.0,207.0,3,50.85,3,1526.2,8,General Purpose
Steel SAE 1340 (tempered at 400 F),Carbon Steel,7.86,1593.0,1806.0,505.0,3,39.21,3,1575.2,6,Structural
Steel SAE 3140 (normalized),Carbon Steel,7.86,600.0,891.0,262.0,3,37.18,4,1519.6,6,Structural
Steel SAE 3140 (annealed),Carbon Steel,7.86,422.0,689.0,197.0,3,48.39,2,1519.6,7,General Purpose
Steel SAE 4037 (tempered at 400 F),Carbon Steel,7.86,758.0,1027.0,310.0,3,44.82,2,1548.5,6,Structural
Steel SAE 4042 (tempered at 400 F),Carbon Steel,7.86,1662.0,1800.0,516.0,3,45.8,4,1541.1,6,Structural
Steel SAE 4130 (normalized),Carbon Steel,7.86,436.0,669.0,197.0,3,47.12,2,1528.5,7,General Purpose
Steel SAE 4130 (annealed),Carbon Steel,7.86,360.0,560.0,156.0,3,47.27,2,1497.7,8,General Purpose
Steel SAE 4130 (tempered at 400 F),Carbon Steel,7.86,1462.0,1627.0,467.0,3,46.67,3,1534.7,6,Structural
Steel SAE 4140 (normalized),Carbon Steel,7.86,655.0,1020.0,302.0,3,42.98,4,1539.4,6,Structural
Steel SAE 4140 (annealed),Carbon Steel,7.86,417.0,655.0,197.0,3,53.05,2,1521.6,7,General Purpose
Steel SAE 4140 (tempered at 400 F),Carbon Steel,7.86,1641.0,1772.0,510.0,3,38.64,3,1577.7,7,Structural
Steel SAE 4150 (normalized),Carbon Steel,7.86,734.0,1155.0,321.0,3,40.37,3,1519.3,6,Structural
Steel SAE 4150 (annealed),Carbon Steel,7.86,379.0,729.0,197.0,2,49.2,2,1524.8,8,General Purpose
Steel SAE 4150 (tempered at 400 F),Carbon Steel,7.86,1724.0,1931.0,530.0,3,41.53,3,1523.4,6,Structural
Steel SAE 4320 (normalized),Carbon Steel,7.86,464.0,793.0,235.0,3,45.46,1,1505.5,7,General Purpose
Steel SAE 4320 (annealed),Carbon Steel,7.86,425.0,579.0,163.0,3,47.32,2,1501.0,7,General Purpose
Steel SAE 4340 (normalized),Carbon Steel,7.86,862.0,1279.0,363.0,2,43.32,3,1544.1,6,Structural
Steel SAE 4340 (annealed),Carbon Steel,7.86,472.0,745.0,217.0,3,53.65,2,1508.0,7,General Purpose
Steel SAE 4340 (tempered at 400 F),Carbon Steel,7.86,1675.0,1875.0,520.0,3,41.56,3,1554.5,6,Structural
Steel SAE 4620 (normalized),Carbon Steel,7.86,366.0,574.0,174.0,3,49.72,2,1506.8,7,General Purpose
Steel SAE 4620 (annealed),Carbon Steel,7.86,372.0,512.0,149.0,2,49.71,2,1512.0,7,General Purpose
Steel SAE 4820 (normalized),Carbon Steel,7.86,484.0,755.0,229.0,3,53.35,3,1507.7,6,General Purpose
Steel SAE 4820 (annealed),Carbon Steel,7.86,464.0,681.0,197.0,3,47.18,2,1508.6,7,General Purpose
Steel SAE 5046 (tempered at 400 F),Carbon Steel,7.86,1407.0,1744.0,482.0,3,40.49,3,1544.8,6,Structural
Steel SAE 5130 (tempered at 400 F),Carbon Steel,7.86,1517.0,1613.0,475.0,3,42.95,2,1559.2,6,Structural
Steel SAE 5140 (normalized),Carbon Steel,7.86,472.0,793.0,229.0,3,46.48,2,1496.0,7,General Purpose
Steel SAE 5140 (annealed),Carbon Steel,7.86,293.0,572.0,167.0,3,49.59,2,1507.6,7,General Purpose
Steel SAE 5140 (tempered at 400 F),Carbon Steel,7.86,1641.0,1793.0,490.0,4,42.89,3,1549.1,6,Structural
Steel SAE 5150 (normalized),Carbon Steel,7.86,529.0,870.0,255.0,3,40.46,2,1529.4,6,Structural
Steel SAE 5150 (annealed),Carbon Steel,7.86,357.0,676.0,197.0,3,54.43,2,1510.0,7,General Purpose
Steel SAE 5150 (tempered at 400 F),Carbon Steel,7.86,1731.0,1944.0,525.0,2,44.62,3,1551.2,5,Structural
Steel SAE 5160 (normalized),Carbon Steel,7.86,531.0,957.0,269.0,3,39.47,3,1535.3,6,Structural
Steel SAE 5160 (annealed),Carbon Steel,7.86,276.0,722.0,197.0,3,55.07,1,1498.6,8,General Purpose
Steel SAE 5160 (tempered at 400 F),Carbon Steel,7.86,1793.0,2220.0,627.0,4,41.3,4,1542.3,6,Structural
Steel SAE 6150 (normalized),Carbon Steel,7.86,615.0,939.0,269.0,3,40.57,3,1531.6,6,Structural
Steel SAE 6150 (annealed),Carbon Steel,7.86,412.0,667.0,197.0,3,54.41,2,1511.6,7,General Purpose
Steel SAE 6150 (tempered at 400 F),Carbon Steel,7.86,1689.0,1931.0,538.0,3,45.71,2,1557.1,6,Structural
Steel SAE 8620 (normalized),Carbon Steel,7.86,357.0,633.0,183.0,3,50.01,2,1521.3,6,General Purpose
Steel SAE 8620 (annealed),Carbon Steel,7.86,385.0,536.0,149.0,3,51.65,2,1533.8,7,General Purpose
Steel SAE 8630 (normalized),Stainless Steel,7.86,429.0,650.0,187.0,8,23.02,2,1548.3,6,Cutting Tools
Steel SAE 8630 (annealed),Stainless Steel,7.86,372.0,564.0,156.0,8,22.76,4,1529.8,6,Cutting Tools
Steel SAE 8630 (tempered at 400 F),Stainless Steel,7.86,1503.0,1641.0,465.0,9,25.3,6,1408.9,4,Cutting Tools
Steel SAE 8640 (tempered at 400 F),Carbon Steel,7.86,1669.0,1862.0,505.0,3,41.5,2,1533.1,6,Structural
Steel SAE 8650 (normalized),Carbon Steel,7.86,688.0,1024.0,302.0,4,45.18,3,1553.4,7,Structural
Steel SAE 8650 (annealed),Carbon Steel,7.86,386.0,715.0,212.0,3,47.09,2,1512.1,7,General Purpose
Steel SAE 8650 (tempered at 400 F),Carbon Steel,7.86,1675.0,1937.0,525.0,3,42.56,3,1540.3,6,Structural
Steel SAE 8660 (tempered at 800 F),Carbon Steel,7.86,1551.0,1634.0,460.0,4,42.47,3,1511.7,6,Structural
Steel SAE 8740 (normalized),Carbon Steel,7.86,607.0,929.0,269.0,2,41.8,3,1540.1,6,Structural
Steel SAE 8740 (annealed),Carbon Steel,7.86,415.0,695.0,201.0,3,50.47,1,1520.8,7,General Purpose
Steel SAE 8740 (tempered at 400 F),Carbon Steel,7.86,1655.0,1999.0,578.0,3,39.17,4,1552.5,6,Structural
Steel SAE 9255 (normalized),Carbon Steel,7.86,579.0,933.0,269.0,3,40.09,3,1545.8,6,Structural
Steel SAE 9255 (annealed),Carbon Steel,7.86,486.0,774.0,229.0,3,52.73,2,1511.4,7,General Purpose
Steel SAE 9255 (tempered at 400 F),Carbon Steel,7.86,2048.0,2103.0,601.0,3,43.72,2,1553.3,7,Structural
Steel SAE 9260 (tempered at 800 F),Carbon Steel,7.86,1503.0,1758.0,470.0,3,43.33,3,1540.9,6,Structural
Steel SAE 9310 (normalized),Carbon Steel,7.86,571.0,907.0,269.0,2,44.08,3,1559.5,6,Structural
Steel SAE 9310 (annealed),Carbon Steel,7.86,440.0,820.0,241.0,3,42.7,4,1545.3,6,Structural
Steel SAE 30201 (annealed),Carbon Steel,8.03,379.0,793.0,233.2,4,52.71,2,1500.8,8,General Purpose
Steel SAE 30201 (1/4-hard),Carbon Steel,8.03,517.0,862.0,253.5,3,40.0,4,1545.3,6,Structural
Steel SAE 30201 (1/2-hard),Carbon Steel,8.03,758.0,1034.0,304.1,2,43.78,3,1536.3,6,Structural
Steel SAE 30201 (3/4-hard),Carbon Steel,8.03,931.0,1207.0,355.0,3,43.0,3,1551.0,6,Structural
Steel SAE 30201 (Full-hard),Carbon Steel,8.03,965.0,1276.0,375.3,3,39.84,3,1545.1,7,Structural
Steel SAE 30202 (annealed),Carbon Steel,8.03,379.0,724.0,212.9,2,50.18,2,1517.9,7,General Purpose
Steel SAE 30202 (1/4-hard),Carbon Steel,8.03,517.0,862.0,253.5,3,42.39,3,1514.7,6,Structural
Steel SAE 30301 (annealed),Carbon Steel,8.03,276.0,758.0,165.0,3,52.18,2,1518.1,7,General Purpose
Steel SAE 30301 (1/4-hard),Carbon Steel,8.03,517.0,862.0,253.5,3,41.72,2,1567.3,6,Structural
Steel SAE 30301 (1/2-hard),Carbon Steel,8.03,758.0,1034.0,304.1,3,41.61,3,1525.9,6,Structural
Steel SAE 30301 (3/4-hard),Carbon Steel,8.03,931.0,1207.0,355.0,3,43.1,3,1525.6,6,Structural
Steel SAE 30301 (Full-hard),Carbon Steel,8.03,965.0,1276.0,375.3,3,40.29,3,1538.6,5,Structural
Steel SAE 30302 (annealed),Carbon Steel,8.03,255.0,621.0,155.0,3,51.0,2,1509.1,7,General Purpose
Steel SAE 30302 (1/4-hard),Carbon Steel,8.03,517.0,862.0,253.5,3,43.38,3,1520.2,6,Structural
Steel SAE 30302B (annealed),Carbon Steel,8.03,276.0,655.0,165.0,3,57.22,1,1507.5,7,General Purpose
Steel SAE 30303 (annealed),Carbon Steel,8.03,241.0,621.0,160.0,3,47.26,1,1505.1,6,General Purpose
Steel SAE 30304 (annealed),Stainless Steel,8.03,241.0,586.0,150.0,7,25.58,2,1478.7,6,Cutting Tools
Steel SAE 30304L (annealed),Stainless Steel,8.03,207.0,552.0,140.0,8,17.6,4,1461.1,6,General Purpose
Steel SAE 30305 (annealed),Carbon Steel,8.03,255.0,586.0,156.0,3,50.6,2,1517.1,7,General Purpose
Steel SAE 30308 (annealed),Carbon Steel,8.03,241.0,586.0,150.0,3,50.6,3,1511.5,7,General Purpose
Steel SAE 30309 (annealed),Carbon Steel,8.03,276.0,621.0,165.0,4,48.38,2,1544.3,7,General Purpose
Steel SAE 30310 (annealed),Carbon Steel,8.03,276.0,655.0,170.0,4,49.67,2,1506.0,7,General Purpose
Steel SAE 30314 (annealed),Carbon Steel,8.03,345.0,689.0,170.0,3,49.71,2,1513.8,7,General Purpose
Steel SAE 30316 (annealed),Stainless Steel,8.03,241.0,586.0,150.0,9,25.11,3,1521.5,6,Cutting Tools
Steel SAE 30316L (annealed),Stainless Steel,8.03,207.0,538.0,145.0,8,15.3,4,1440.9,6,General Purpose
Steel SAE 30317 (annealed),Carbon Steel,8.03,276.0,621.0,160.0,3,49.31,1,1493.1,7,General Purpose
Steel SAE 30321 (annealed),Carbon Steel,8.03,241.0,600.0,150.0,3,43.2,1,1512.9,7,General Purpose
Steel SAE 30347 (annealed),Carbon Steel,8.03,241.0,634.0,160.0,3,49.41,2,1517.0,6,General Purpose
Steel SAE 30348 (annealed),Carbon Steel,8.03,241.0,634.0,160.0,3,48.78,2,1513.0,7,General Purpose
Steel SAE 51403 (annealed),Carbon Steel,8.03,276.0,517.0,155.0,4,49.86,2,1503.9,7,General Purpose
Steel SAE 51403 (tempered at 400 F),Carbon Steel,8.03,1000.0,1310.0,390.0,2,38.55,3,1504.3,6,Structural
Steel SAE 51405 (annealed),Carbon Steel,8.03,276.0,483.0,150.0,3,49.97,2,1515.3,7,General Purpose
Steel SAE 51410 (annealed),Stainless Steel,8.03,276.0,517.0,155.0,8,14.86,5,1423.8,6,General Purpose
Steel SAE 51410 (tempered at 400 F),Stainless Steel,8.03,1000.0,1310.0,390.0,7,13.12,6,1454.7,4,Aerospace
Steel SAE 51414 (annealed),Carbon Steel,8.03,655.0,827.0,235.0,3,41.15,3,1536.9,6,Structural
Steel SAE 51414 (tempered at 400 F),Carbon Steel,8.03,1034.0,1379.0,415.0,3,41.65,2,1533.2,6,Structural
Steel SAE 51416 (annealed),Carbon Steel,8.03,276.0,517.0,155.0,3,48.95,2,1498.8,7,General Purpose
Steel SAE 51416 (tempered at 400 F),Carbon Steel,8.03,1000.0,1310.0,390.0,3,46.32,3,1512.8,6,Structural
Steel SAE 51420 (annealed),Stainless Steel,8.03,345.0,655.0,195.0,7,22.83,4,1518.7,6,Cutting Tools
Steel SAE 51420 (tempered at 600 F),Stainless Steel,8.03,1344.0,1586.0,500.0,10,25.75,5,1418.5,4,Cutting Tools
Steel SAE 51430 (annealed),Stainless Steel,8.03,310.0,517.0,155.0,8,16.7,4,1437.9,6,General Purpose
Steel SAE 51430F (annealed),Stainless Steel,8.03,379.0,552.0,170.0,9,16.65,4,1433.5,6,General Purpose
Steel SAE 51431 (annealed),Carbon Steel,8.03,655.0,862.0,260.0,3,42.82,3,1539.9,6,Structural
Steel SAE 51431 (tempered at 400 F),Carbon Steel,8.03,1069.0,1413.0,415.0,3,42.74,2,1556.6,5,Structural
Steel SAE 51440A (annealed),Carbon Steel,8.03,414.0,724.0,215.0,3,50.08,3,1502.2,7,General Purpose
Steel SAE 51440A (tempered at 600 F),Carbon Steel,8.03,1655.0,1793.0,510.0,3,39.53,3,1496.6,6,Structural
Steel SAE 51440C (annealed),Stainless Steel,8.03,448.0,758.0,230.0,8,25.35,3,1504.6,6,Cutting Tools
Steel SAE 51440C (tempered at 600 F),Stainless Steel,8.03,1896.0,1965.0,580.0,10,24.48,6,1426.2,4,Cutting Tools
Steel SAE 51446 (annealed),Carbon Steel,8.03,345.0,552.0,170.0,3,47.89,2,1544.6,7,General Purpose
Steel SAE 51501 (annealed),Carbon Steel,8.03,207.0,483.0,160.0,3,51.38,2,1516.0,8,General Purpose
Steel SAE 51502 (annealed),Carbon Steel,8.03,207.0,483.0,150.0,2,50.5,2,1494.9,7,General Purpose
Grey cast iron class 20,Carbon Steel,7.16,135.2,138.0,40.6,3,51.71,1,1508.7,6,General Purpose
Grey cast iron class 25,Carbon Steel,7.16,168.6,172.0,50.6,2,47.02,2,1506.4,7,General Purpose
Grey cast iron class 30,Carbon Steel,7.16,202.9,207.0,60.9,3,47.53,2,1549.4,8,General Purpose
Grey cast iron class 35,Carbon Steel,7.16,236.2,241.0,70.9,3,51.02,2,1511.3,7,General Purpose
Grey cast iron class 40,Carbon Steel,7.16,270.5,276.0,81.2,3,48.65,2,1516.8,7,General Purpose
Grey cast iron class 50,Carbon Steel,7.16,338.1,345.0,101.5,3,50.32,2,1492.1,7,General Purpose
Grey cast iron class 60,Carbon Steel,7.16,405.7,414.0,121.8,3,47.97,3,1498.6,7,General Purpose
Malleable cast iron,Carbon Steel,7.16,207.0,276.0,81.2,3,51.01,2,1523.6,7,General Purpose
Nodular cast iron,Carbon Steel,7.16,276.0,414.0,121.8,4,50.48,3,1528.4,7,General Purpose
Copper Alloy C80100,Copper Alloy,8.93,62.0,172.0,43.0,8,26.44,5,1054.6,8,Marine
High-Copper Alloy C81300,Copper Alloy,8.93,248.0,365.0,91.2,8,23.87,4,1037.1,8,Marine
High-Copper Alloy C81500,Copper Alloy,8.93,276.0,352.0,88.0,8,27.26,6,1056.4,7,Marine
High-Copper Alloy C81700,Copper Alloy,8.93,469.0,634.0,158.5,8,125.08,8,971.8,5,Springs
Red brass C83300,Copper Alloy,8.5,69.0,221.0,55.2,6,115.78,5,920.5,9,General Purpose
Red brass C83400,Copper Alloy,8.5,69.0,241.0,60.2,6,112.14,4,923.2,9,General Purpose
Red brass C83600,Copper Alloy,8.5,117.0,255.0,63.8,7,112.44,5,916.7,9,General Purpose
Red brass C83800,Copper Alloy,8.5,110.0,241.0,60.2,6,117.36,3,894.3,9,General Purpose
Semi-red Brass C84200,Stainless Steel,8.5,97.0,241.0,70.9,8,26.6,2,1481.5,8,General Purpose
Semi-red Brass C84400,Copper Alloy,8.5,97.0,234.0,58.5,6,131.54,4,917.5,9,General Purpose
Semi-red Brass C84500,Copper Alloy,8.5,97.0,241.0,60.2,5,124.39,4,915.3,9,General Purpose
Semi-red Brass C84800,Copper Alloy,8.5,97.0,241.0,60.2,7,117.66,4,944.3,10,General Purpose
Yellow Brass C85200,Copper Alloy,8.5,90.0,262.0,65.5,6,122.28,3,917.4,9,General Purpose
Yellow Brass C85400,Copper Alloy,8.5,83.0,234.0,58.5,5,127.02,4,929.6,10,General Purpose
Yellow Brass C85500,Copper Alloy,8.5,159.0,414.0,103.5,6,132.76,5,926.9,9,General Purpose
Yellow Brass C85700,Copper Alloy,8.5,124.0,345.0,86.2,6,116.09,5,929.2,8,General Purpose
Yellow Brass C85800,Copper Alloy,8.5,207.0,379.0,94.8,6,119.95,4,921.4,10,General Purpose
Manganese Bronze C86100,Copper Alloy,8.8,345.0,655.0,163.8,8,114.28,8,936.4,5,Springs
Manganese Bronze C86200,Copper Alloy,8.8,331.0,655.0,163.8,8,132.05,8,971.1,6,Springs
